HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Roma,Lazio,1,0,H,1,0,H,15,11,3,1,14,15,3,6,6,3,0,0
Empoli,Torino,3,2,H,1,0,H,4,19,3,5,13,13,1,7,2,1,0,0
Frosinone,Bologna,0,0,D,0,0,D,12,13,5,5,10,14,5,2,1,3,0,0
Monza,Napoli,2,4,A,1,0,H,7,19,2,8,10,8,1,6,3,1,0,0
Cagliari,Atalanta,2,1,H,1,1,D,11,7,3,2,16,19,4,4,3,3,0,0
Verona,Genoa,1,2,A,1,1,D,12,11,3,5,14,15,5,3,3,1,0,0
Juventus,Fiorentina,1,0,H,1,0,H,7,13,2,2,16,8,5,6,2,1,0,0
Udinese,Inter,1,2,A,1,0,H,3,23,1,6,11,11,0,8,1,2,0,0
Lazio,Salernitana,4,1,H,3,1,H,17,8,6,5,15,10,9,0,0,1,0,0
Lecce,Empoli,1,0,H,0,0,D,14,3,7,0,18,15,10,3,1,0,0,0
Torino,Juventus,0,0,D,0,0,D,13,8,2,3,18,11,6,2,3,2,1,0
Bologna,Monza,0,0,D,0,0,D,17,4,7,0,13,19,10,0,4,4,0,0
Napoli,Frosinone,2,2,D,1,0,H,20,13,9,6,11,14,6,2,3,1,1,0
Sassuolo,Milan,3,3,D,2,1,H,10,23,5,7,12,9,2,6,3,1,0,0
Inter,Cagliari,2,2,D,1,0,H,12,11,7,6,5,10,7,0,0,2,0,0
Fiorentina,Genoa,1,1,D,0,1,A,20,7,3,3,8,19,6,2,1,2,0,0
Atalanta,Verona,2,2,D,2,0,H,16,13,9,5,6,10,5,4,0,2,0,0
Genoa,Lazio,0,1,A,0,0,D,8,13,2,1,7,13,2,9,1,2,0,0
Cagliari,Juventus,2,2,D,2,0,H,9,11,4,3,16,15,4,3,2,3,0,0
Empoli,Napoli,1,0,H,1,0,H,7,9,1,1,14,12,2,8,2,2,0,0
Verona,Udinese,1,0,H,0,0,D,16,18,4,1,18,12,10,6,2,2,0,0
Sassuolo,Lecce,0,3,A,0,2,A,10,14,3,8,10,13,9,4,1,0,0,0
Torino,Frosinone,0,0,D,0,0,D,13,12,2,3,10,17,6,4,2,2,0,0
Salernitana,Fiorentina,0,2,A,0,0,D,5,12,1,7,13,11,2,5,2,4,0,0
Monza,Atalanta,1,2,A,0,1,A,17,12,2,6,8,13,2,8,3,2,0,0
Roma,Bologna,1,3,A,0,2,A,14,11,5,3,8,12,8,2,5,2,0,0
Milan,Inter,1,2,A,0,1,A,15,11,6,3,19,10,5,3,3,2,2,1
Udinese,Roma,1,2,A,1,0,H,9,19,3,5,15,10,5,8,3,2,0,0
Milan,Udinese,4,2,H,2,2,D,14,9,5,4,16,13,5,1,1,4,0,0
Sampdoria,Atalanta,0,2,A,0,1,A,11,9,1,3,13,21,3,2,4,6,0,0
Lecce,Inter,1,2,A,0,1,A,10,19,4,9,21,19,6,8,4,2,0,0
Monza,Torino,1,2,A,0,1,A,15,13,4,6,6,17,2,7,1,2,0,0
Fiorentina,Cremonese,3,2,H,2,1,H,27,13,11,4,10,19,11,4,0,3,0,1
Lazio,Bologna,2,1,H,0,1,A,9,11,6,3,11,18,3,2,2,6,1,1
Salernitana,Roma,0,1,A,0,1,A,13,20,2,5,18,9,4,2,3,2,0,0
Spezia,Empoli,1,0,H,1,0,H,9,18,2,5,15,8,6,4,2,1,0,0
Verona,Napoli,2,5,A,1,2,A,6,25,3,8,15,6,4,8,2,2,0,0
Juventus,Sassuolo,3,0,H,2,0,H,14,19,4,7,7,5,3,2,1,3,0,0
Torino,Lazio,0,0,D,0,0,D,10,7,1,2,11,12,6,4,0,5,0,0
Udinese,Salernitana,0,0,D,0,0,D,15,17,2,6,9,12,6,6,2,4,1,0
Inter,Spezia,3,0,H,1,0,H,19,2,8,0,11,7,10,4,0,0,0,0
Sassuolo,Lecce,1,0,H,1,0,H,12,7,3,1,14,12,5,4,5,1,0,0
Empoli,Fiorentina,0,0,D,0,0,D,4,19,2,2,13,11,1,9,1,3,1,0
Napoli,Monza,4,0,H,2,0,H,22,4,5,1,11,13,10,4,2,1,0,0
Atalanta,Milan,1,1,D,1,0,H,11,18,2,7,15,6,4,6,4,3,0,0
Bologna,Verona,1,1,D,1,1,D,17,19,5,3,10,14,9,8,3,3,1,0
Roma,Cremonese,1,0,H,0,0,D,27,14,12,3,7,14,5,6,0,3,0,0
Sampdoria,Juventus,0,0,D,0,0,D,10,10,1,4,8,14,3,4,3,2,0,0
Monza,Udinese,1,2,A,1,1,D,10,15,5,4,16,10,3,5,3,2,0,0
Lazio,Inter,3,1,H,1,0,H,11,19,7,7,5,12,2,4,2,1,0,0
Cremonese,Torino,1,2,A,0,1,A,16,14,6,5,9,21,3,3,0,3,0,0
Juventus,Roma,1,1,D,1,0,H,14,8,3,4,16,7,4,5,2,2,0,0
Milan,Bologna,2,0,H,1,0,H,19,8,7,0,13,9,5,1,2,1,0,0
Spezia,Sassuolo,2,2,D,2,1,H,7,21,2,8,17,10,2,6,2,1,1,0
Salernitana,Sampdoria,4,0,H,2,0,H,9,17,6,6,19,14,6,3,2,2,0,0
Verona,Atalanta,0,1,A,0,0,D,14,15,2,7,15,7,7,6,3,3,0,0
Fiorentina,Napoli,0,0,D,0,0,D,10,13,5,2,12,14,2,3,2,3,0,0
Lecce,Empoli,1,1,D,1,1,D,15,9,5,3,10,5,3,5,1,2,0,0
Sassuolo,Milan,0,0,D,0,0,D,8,10,3,2,14,13,3,8,5,2,0,0
Inter,Cremonese,3,1,H,2,0,H,18,11,7,4,6,14,6,6,0,3,0,0
Roma,Monza,3,0,H,2,0,H,14,13,7,1,10,7,5,4,0,3,0,0
Empoli,Verona,1,1,D,1,0,H,16,9,4,3,5,21,7,10,0,4,0,0
Sampdoria,Lazio,1,1,D,0,1,A,10,13,3,6,10,7,5,7,0,2,0,0
Udinese,Fiorentina,1,0,H,1,0,H,8,12,3,2,13,9,3,7,1,2,0,0
Juventus,Spezia,2,0,H,1,0,H,15,9,3,0,1,4,7,3,0,2,0,0
Napoli,Lecce,1,1,D,1,1,D,19,9,7,4,1,3,6,4,1,4,0,0
Atalanta,Torino,3,1,H,1,0,H,12,8,5,2,14,13,7,2,1,3,0,0
Bologna,Salernitana,1,1,D,0,0,D,11,20,4,4,10,11,1,8,2,2,0,0
Fiorentina,Juventus,1,1,D,1,1,D,17,4,5,1,13,12,10,2,1,3,0,0
Milan,Inter,3,2,H,1,1,D,21,16,5,5,10,12,2,5,5,2,0,0
Lazio,Napoli,1,2,A,1,1,D,8,19,2,7,12,14,6,8,4,0,0,0
Cremonese,Sassuolo,0,0,D,0,0,D,10,17,0,7,16,6,2,3,1,1,0,0
Spezia,Bologna,2,2,D,1,1,D,15,13,5,6,12,5,7,2,4,1,0,0
Verona,Sampdoria,2,1,H,2,1,H,17,11,9,3,16,11,7,2,2,2,0,0
Udinese,Roma,4,0,H,1,0,H,11,12,5,2,16,13,3,7,3,2,0,0
Monza,Atalanta,0,2,A,0,0,D,11,13,3,6,9,10,4,9,1,1,0,0
Salernitana,Empoli,2,2,D,1,1,D,15,11,4,5,7,9,6,7,3,2,0,0
Torino,Lecce,1,0,H,1,0,H,13,10,4,2,16,8,4,4,2,1,0,0
Napoli,Spezia,1,0,H,0,0,D,28,10,6,1,6,14,10,5,1,2,0,0
Inter,Torino,1,0,H,0,0,D,16,9,3,7,8,17,6,5,1,2,0,0
Sampdoria,Milan,1,2,A,0,1,A,10,15,4,4,12,10,2,4,5,2,0,1
Atalanta,Cremonese,1,1,D,0,0,D,14,7,6,4,9,17,3,3,2,5,0,0
Bologna,Fiorentina,2,1,H,0,0,D,12,13,4,2,8,13,6,8,1,4,0,1
Lecce,Monza,1,1,D,0,1,A,7,2,3,1,18,22,8,5,3,3,0,0
Sassuolo,Udinese,1,3,A,1,0,H,5,17,2,4,7,15,5,6,1,3,1,0
Lazio,Verona,2,0,H,0,0,D,15,7,6,1,5,23,3,5,2,5,0,0
Juventus,Salernitana,2,2,D,0,2,A,22,11,7,5,13,15,8,2,5,4,2,1
Empoli,Roma,1,2,A,1,1,D,20,13,3,7,13,12,7,7,3,1,1,0
Salernitana,Lecce,1,2,A,0,1,A,8,13,4,4,9,11,4,5,1,3,0,0
Bologna,Empoli,0,1,A,0,0,D,16,12,3,5,11,16,5,8,2,3,0,0
Spezia,Sampdoria,2,1,H,1,1,D,6,11,3,8,17,14,3,6,4,5,0,0
Torino,Sassuolo,0,1,A,0,0,D,12,10,3,5,13,7,4,3,4,1,0,0
Udinese,Inter,3,1,H,1,1,D,20,14,6,3,11,13,7,4,3,4,0,0
Cremonese,Lazio,0,4,A,0,3,A,18,14,3,6,12,9,8,5,1,1,0,0
Fiorentina,Verona,2,0,H,1,0,H,15,8,9,1,18,17,7,3,4,4,0,0
Monza,Juventus,1,0,H,0,0,D,17,10,4,2,16,17,5,3,2,1,0,1
Roma,Atalanta,0,1,A,0,1,A,21,4,5,1,9,19,5,1,0,7,0,0
Milan,Napoli,1,2,A,0,0,D,22,9,5,4,18,11,9,4,4,3,0,0
Napoli,Torino,3,1,H,3,1,H,15,16,7,3,4,17,4,4,0,2,0,0
Inter,Roma,1,2,A,1,1,D,15,10,2,3,15,14,5,1,4,3,0,0
Empoli,Milan,1,3,A,0,0,D,16,19,4,6,15,10,3,7,4,2,0,0
Lazio,Spezia,4,0,H,2,0,H,13,14,6,2,3,14,3,6,0,2,0,0
Lecce,Cremonese,1,1,D,1,1,D,6,13,1,4,11,15,1,8,3,1,0,0
Sampdoria,Monza,0,3,A,0,1,A,3,13,1,6,16,24,2,4,2,2,0,0
Sassuolo,Salernitana,5,0,H,2,0,H,17,6,11,1,10,8,1,2,1,1,0,0
Atalanta,Fiorentina,1,0,H,0,0,D,10,16,5,5,12,10,1,5,2,2,0,0
Juventus,Bologna,3,0,H,1,0,H,17,9,6,1,11,15,2,4,0,1,0,0
Verona,Udinese,1,2,A,1,0,H,7,21,2,8,15,11,4,9,3,3,0,0
Sassuolo,Inter,1,2,A,0,1,A,15,16,3,4,14,17,6,5,3,2,0,0
Milan,Juventus,2,0,H,1,0,H,21,10,3,3,7,7,9,3,2,3,0,0
Bologna,Sampdoria,1,1,D,1,0,H,10,9,3,3,17,21,2,5,2,3,0,0
Torino,Empoli,1,1,D,0,0,D,20,6,7,2,15,9,6,1,2,4,0,0
Monza,Spezia,2,0,H,1,0,H,7,9,4,1,10,20,3,6,3,2,0,0
Salernitana,Verona,2,1,H,1,0,H,14,12,4,2,9,15,1,6,3,3,1,1
Udinese,Atalanta,2,2,D,0,1,A,10,9,2,5,11,12,5,3,2,3,0,0
Cremonese,Napoli,1,4,A,0,1,A,12,21,1,10,18,6,5,2,2,0,0,0
Roma,Lecce,2,1,H,1,1,D,20,6,6,3,12,11,13,4,2,2,0,1
Fiorentina,Lazio,0,4,A,0,2,A,24,10,3,6,17,9,9,2,4,1,0,0
Empoli,Monza,1,0,H,1,0,H,11,16,5,4,17,14,2,9,5,3,0,1
Torino,Juventus,0,1,A,0,0,D,15,14,2,8,11,8,3,6,2,0,0,0
Atalanta,Sassuolo,2,1,H,1,1,D,16,11,4,3,10,8,3,3,1,4,0,0
Inter,Salernitana,2,0,H,1,0,H,16,8,6,3,12,14,6,4,0,1,0,0
Lazio,Udinese,0,0,D,0,0,D,8,12,3,2,8,11,7,3,1,4,0,0
Spezia,Cremonese,2,2,D,2,1,H,15,24,6,4,12,11,6,8,2,0,0,0
Napoli,Bologna,3,2,H,1,1,D,30,16,11,3,6,10,6,4,0,4,0,0
Verona,Milan,1,2,A,1,1,D,19,16,5,6,7,9,9,3,3,2,0,0
Sampdoria,Roma,0,1,A,0,1,A,8,7,1,4,20,20,4,3,5,3,0,0
Lecce,Fiorentina,1,1,D,1,0,H,6,10,2,5,15,16,2,8,5,5,1,0
Juventus,Empoli,4,0,H,1,0,H,21,12,7,4,13,11,6,4,2,2,0,0
Salernitana,Spezia,1,0,H,0,0,D,17,14,4,2,9,8,4,7,2,4,0,0
Milan,Monza,4,1,H,2,0,H,12,16,7,6,18,9,2,2,1,1,0,0
Fiorentina,Inter,3,4,A,1,2,A,10,8,4,7,15,14,1,2,4,3,0,0
Udinese,Torino,1,2,A,1,1,D,16,15,4,4,12,15,7,4,3,4,0,0
Bologna,Lecce,2,0,H,2,0,H,12,9,3,3,11,14,9,4,5,2,0,0
Atalanta,Lazio,0,2,A,0,1,A,7,12,0,5,15,9,5,8,4,2,1,0
Roma,Napoli,0,1,A,0,0,D,6,12,0,5,14,12,3,4,3,4,0,0
Cremonese,Sampdoria,0,1,A,0,0,D,21,8,4,4,16,15,5,1,3,4,0,0
Sassuolo,Verona,2,1,H,1,1,D,14,13,3,5,7,19,4,5,1,3,0,0
Napoli,Sassuolo,4,0,H,3,0,H,18,10,6,6,5,6,11,5,0,3,0,1
Lecce,Juventus,0,1,A,0,0,D,5,13,0,5,16,13,7,7,3,5,0,0
Inter,Sampdoria,3,0,H,2,0,H,17,9,8,2,5,13,3,3,1,6,0,0
Empoli,Atalanta,0,2,A,0,1,A,13,20,3,6,10,13,7,2,2,1,0,0
Cremonese,Udinese,0,0,D,0,0,D,13,13,2,3,8,9,7,4,1,0,0,0
Spezia,Fiorentina,1,2,A,1,1,D,10,27,6,5,19,14,5,5,5,3,1,0
Lazio,Salernitana,1,3,A,1,0,H,13,10,4,6,10,7,4,5,3,3,0,0
Torino,Milan,2,1,H,2,0,H,7,12,4,1,11,16,6,1,5,2,0,0
Verona,Roma,1,3,A,1,1,D,7,14,3,6,9,9,2,4,3,1,1,0
Monza,Bologna,1,2,A,0,0,D,9,10,3,5,13,18,4,5,4,2,0,0
Udinese,Lecce,1,1,D,0,1,A,16,9,5,1,12,18,3,2,2,3,0,0
Empoli,Sassuolo,1,0,H,0,0,D,17,10,1,3,11,11,3,6,2,0,0,0
Salernitana,Cremonese,2,2,D,2,1,H,11,11,2,5,14,10,2,2,2,2,0,0
Atalanta,Napoli,1,2,A,1,2,A,17,7,4,5,10,9,5,2,5,1,0,0
Milan,Spezia,2,1,H,1,0,H,23,13,11,5,12,13,3,6,6,4,1,0
Bologna,Torino,2,1,H,0,1,A,9,7,5,2,14,17,3,1,3,3,0,0
Monza,Verona,2,0,H,0,0,D,14,7,3,2,10,10,5,2,3,1,0,1
Sampdoria,Fiorentina,0,2,A,0,1,A,14,5,2,4,10,18,4,4,1,0,0,0
Roma,Lazio,0,1,A,0,1,A,8,5,2,3,18,14,4,2,2,3,0,0
Juventus,Inter,2,0,H,0,0,D,8,14,3,4,16,13,2,8,2,2,0,0
Napoli,Empoli,2,0,H,0,0,D,18,6,4,1,12,16,5,0,1,6,0,1
Spezia,Udinese,1,1,D,1,1,D,21,10,6,2,12,12,9,0,3,3,0,0
Cremonese,Milan,0,0,D,0,0,D,6,16,1,5,16,10,2,4,4,3,0,0
Lecce,Atalanta,2,1,H,2,1,H,15,12,3,4,11,12,4,3,1,2,0,0
Sassuolo,Roma,1,1,D,0,0,D,14,10,6,4,11,11,3,2,5,3,0,0
Fiorentina,Salernitana,2,1,H,1,0,H,18,4,7,1,10,11,4,3,0,1,0,0
Inter,Bologna,6,1,H,3,1,H,13,10,7,4,10,11,4,4,1,5,0,0
Torino,Sampdoria,2,0,H,1,0,H,8,11,5,1,14,21,4,3,1,3,0,0
Verona,Juventus,0,1,A,0,0,D,15,11,2,3,14,13,5,4,3,2,0,1
Lazio,Monza,1,0,H,0,0,D,12,8,4,0,15,14,4,3,2,1,0,0
Empoli,Cremonese,2,0,H,0,0,D,13,19,6,5,9,14,4,9,1,2,0,0
Napoli,Udinese,3,2,H,2,0,H,15,10,5,4,12,13,5,3,2,3,0,0
Sampdoria,Lecce,0,2,A,0,1,A,11,11,2,3,14,19,9,0,2,3,0,0
Bologna,Sassuolo,3,0,H,1,0,H,8,9,4,3,12,6,4,6,1,0,0,0
Atalanta,Inter,2,3,A,1,1,D,19,14,7,3,10,11,5,4,0,3,0,0
Monza,Salernitana,3,0,H,2,0,H,19,5,7,0,9,11,6,1,0,2,0,1
Roma,Torino,1,1,D,0,0,D,13,10,4,2,13,10,7,0,3,2,0,0
Verona,Spezia,1,2,A,1,0,H,18,16,5,9,13,21,2,10,2,4,0,0
Milan,Fiorentina,2,1,H,1,1,D,12,11,3,5,13,11,5,7,1,4,0,0
Juventus,Lazio,3,0,H,1,0,H,13,10,9,3,10,8,2,6,2,1,0,0
Salernitana,Milan,1,2,A,0,2,A,8,16,1,10,21,13,6,2,4,1,0,0
Sassuolo,Sampdoria,1,2,A,0,2,A,16,9,4,4,16,19,9,1,2,3,0,0
Spezia,Atalanta,2,2,D,2,0,H,7,19,3,3,11,11,3,8,3,3,0,0
Torino,Verona,1,1,D,0,1,A,9,10,3,2,7,17,6,3,1,1,0,0
Lecce,Lazio,2,1,H,0,1,A,11,8,4,2,16,13,4,3,3,2,0,0
Roma,Bologna,1,0,H,1,0,H,14,10,4,2,10,10,3,3,2,3,0,0
Cremonese,Juventus,0,1,A,0,0,D,13,19,3,8,12,12,3,8,5,3,0,0
Fiorentina,Monza,1,1,D,1,0,H,22,10,6,3,11,13,9,1,1,3,0,0
Inter,Napoli,1,0,H,0,0,D,6,9,1,2,12,7,5,4,3,2,0,0
Udinese,Empoli,1,1,D,0,1,A,21,6,3,1,15,14,8,1,2,3,0,1
Fiorentina,Sassuolo,2,1,H,0,0,D,14,17,5,4,14,9,6,3,4,3,0,0
Juventus,Udinese,1,0,H,0,0,D,14,11,4,3,16,13,6,4,1,2,0,0
Monza,Inter,2,2,D,1,2,A,13,11,4,3,14,20,3,5,0,3,0,0
Salernitana,Torino,1,1,D,0,1,A,11,23,4,8,10,15,6,7,2,3,0,0
Lazio,Empoli,2,2,D,1,0,H,18,5,4,2,17,10,10,3,4,1,0,0
Spezia,Lecce,0,0,D,0,0,D,10,15,2,4,14,15,5,7,0,1,0,0
Sampdoria,Napoli,0,2,A,0,1,A,9,24,2,8,15,12,2,5,3,2,1,0
Milan,Roma,2,2,D,1,0,H,12,12,5,3,19,13,3,4,4,7,0,0
Verona,Cremonese,2,0,H,2,0,H,9,15,4,5,16,11,3,5,3,4,0,0
Bologna,Atalanta,1,2,A,1,0,H,12,7,3,3,16,15,4,0,3,2,0,0
Napoli,Juventus,5,1,H,2,1,H,14,11,10,2,10,9,2,5,0,1,0,0
Cremonese,Monza,2,3,A,0,2,A,11,8,7,3,12,12,4,2,2,4,0,0
Lecce,Milan,2,2,D,2,0,H,17,12,3,5,11,12,8,4,1,2,0,0
Inter,Verona,1,0,H,1,0,H,11,6,3,1,11,13,3,4,0,3,0,0
Sassuolo,Lazio,0,2,A,0,1,A,12,12,2,3,17,10,7,3,5,3,0,0
Torino,Spezia,0,1,A,0,1,A,11,13,4,5,13,12,7,2,3,3,0,0
Udinese,Bologna,1,2,A,1,0,H,20,15,4,2,10,17,6,4,1,3,0,0
Atalanta,Salernitana,8,2,H,5,1,H,19,7,13,2,10,12,5,2,1,0,0,0
Roma,Fiorentina,2,0,H,1,0,H,10,7,4,3,15,12,5,9,3,4,0,1
Empoli,Sampdoria,1,0,H,0,0,D,16,16,5,7,15,16,3,3,5,6,0,0
Verona,Lecce,2,0,H,1,0,H,11,9,4,3,15,12,5,4,3,0,0,0
Salernitana,Napoli,0,2,A,0,1,A,5,9,2,4,14,15,3,4,2,2,0,0
Fiorentina,Torino,0,1,A,0,1,A,19,9,5,3,9,23,5,3,2,2,0,0
Sampdoria,Udinese,0,1,A,0,0,D,9,14,1,5,15,17,6,6,3,1,0,0
Monza,Sassuolo,1,1,D,0,1,A,14,13,3,1,17,18,10,4,2,2,0,0
Spezia,Roma,0,2,A,0,1,A,8,13,0,3,17,11,4,0,3,1,0,0
Juventus,Atalanta,3,3,D,2,1,H,15,14,8,4,9,6,6,4,1,2,0,0
Bologna,Cremonese,1,1,D,0,0,D,21,9,8,2,11,13,4,1,2,5,0,0
Inter,Empoli,0,1,A,0,0,D,16,13,1,8,13,16,2,3,4,3,1,0
Lazio,Milan,4,0,H,2,0,H,10,10,5,3,14,11,3,4,1,2,0,0
Bologna,Spezia,2,0,H,1,0,H,18,6,6,4,8,16,5,5,2,2,0,0
Lecce,Salernitana,1,2,A,1,2,A,15,10,5,6,14,11,4,4,2,4,0,0
Empoli,Torino,2,2,D,1,0,H,11,16,4,4,12,9,5,5,2,0,0,0
Cremonese,Inter,1,2,A,1,1,D,12,30,4,10,7,12,2,14,0,2,0,0
Atalanta,Sampdoria,2,0,H,1,0,H,21,15,5,5,17,11,7,4,0,2,0,0
Milan,Sassuolo,2,5,A,1,3,A,10,9,5,7,13,8,2,3,7,4,0,0
Juventus,Monza,0,2,A,0,2,A,22,3,8,3,12,10,12,1,0,2,0,0
Lazio,Fiorentina,1,1,D,1,0,H,13,17,1,6,12,17,3,4,2,3,0,0
Napoli,Roma,2,1,H,1,0,H,11,11,6,3,8,14,3,8,1,2,0,0
Udinese,Verona,1,1,D,1,1,D,26,10,8,2,9,11,14,6,1,3,0,0
Cremonese,Lecce,0,2,A,0,0,D,12,9,3,4,12,15,4,8,1,2,0,0
Roma,Empoli,2,0,H,2,0,H,12,11,6,2,10,18,7,7,2,1,0,0
Sassuolo,Atalanta,1,0,H,0,0,D,18,7,8,2,12,13,2,7,5,1,0,2
Spezia,Napoli,0,3,A,0,0,D,9,12,3,5,19,18,3,6,3,2,0,0
Torino,Udinese,1,0,H,0,0,D,11,11,3,3,13,8,6,5,1,1,0,0
Fiorentina,Bologna,1,2,A,1,1,D,18,11,6,7,10,25,5,3,2,4,0,0
Inter,Milan,1,0,H,1,0,H,15,4,4,0,13,14,8,0,2,5,0,0
Verona,Lazio,1,1,D,0,1,A,15,9,4,2,16,12,6,5,4,1,0,0
Monza,Sampdoria,2,2,D,1,1,D,17,11,5,6,12,12,9,3,2,4,0,0
Salernitana,Juventus,0,3,A,0,2,A,10,17,1,5,9,12,6,3,1,1,0,0
Milan,Torino,1,0,H,0,0,D,9,12,4,2,10,20,3,8,1,4,0,0
Empoli,Spezia,2,2,D,0,2,A,25,9,8,3,10,13,7,3,1,5,1,1
Lecce,Roma,1,1,D,1,1,D,8,12,3,5,24,8,3,7,4,1,0,0
Lazio,Atalanta,0,2,A,0,1,A,13,23,5,10,12,14,5,7,1,2,0,0
Udinese,Sassuolo,2,2,D,2,2,D,17,6,8,1,12,8,10,7,2,2,0,0
Bologna,Monza,0,1,A,0,1,A,12,5,3,4,15,18,3,2,1,4,0,0
Juventus,Fiorentina,1,0,H,1,0,H,7,11,3,2,11,17,5,6,5,2,0,0
Napoli,Cremonese,3,0,H,1,0,H,15,6,10,1,7,7,9,7,0,2,0,0
Verona,Salernitana,1,0,H,1,0,H,14,8,4,3,14,21,5,1,2,3,0,0
Sampdoria,Inter,0,0,D,0,0,D,7,25,2,5,13,11,3,7,3,1,0,0
Sassuolo,Napoli,0,2,A,0,2,A,11,15,2,4,12,10,1,3,2,2,0,0
Sampdoria,Bologna,1,2,A,0,1,A,9,12,4,5,13,13,1,8,3,1,0,0
Monza,Milan,0,1,A,0,1,A,11,14,5,8,10,18,10,3,4,2,0,0
Inter,Udinese,3,1,H,1,1,D,19,9,7,1,15,14,3,8,2,2,0,0
Atalanta,Lecce,1,2,A,0,1,A,20,4,10,2,10,12,6,1,3,3,0,0
Fiorentina,Empoli,1,1,D,0,1,A,27,5,4,3,8,15,13,1,1,5,0,0
Salernitana,Lazio,0,2,A,0,0,D,9,21,2,7,10,7,2,9,5,1,1,0
Spezia,Juventus,0,2,A,0,1,A,18,15,7,3,8,9,7,4,2,2,0,0
Roma,Verona,1,0,H,1,0,H,9,7,5,1,15,19,5,1,1,2,0,0
Torino,Cremonese,2,2,D,1,0,H,16,11,6,2,9,12,5,1,3,1,0,0
Empoli,Napoli,0,2,A,0,2,A,9,19,2,6,10,9,4,13,2,1,0,1
Lecce,Sassuolo,0,1,A,0,0,D,16,7,0,3,17,7,4,7,2,2,0,0
Bologna,Inter,1,0,H,0,0,D,14,13,5,4,7,14,1,6,1,2,0,0
Salernitana,Monza,3,0,H,0,0,D,12,14,5,3,12,16,1,3,2,4,0,1
Udinese,Spezia,2,2,D,1,1,D,15,9,6,2,11,16,5,2,2,2,0,0
Milan,Atalanta,2,0,H,1,0,H,13,3,3,0,11,11,4,3,3,2,0,0
Verona,Fiorentina,0,3,A,0,2,A,12,16,3,7,15,11,4,2,3,3,0,0
Lazio,Sampdoria,1,0,H,0,0,D,15,8,4,2,10,13,8,3,2,2,0,0
Cremonese,Roma,2,1,H,1,0,H,6,10,2,3,17,11,3,3,3,2,0,0
Juventus,Torino,4,2,H,2,2,D,13,8,6,3,5,13,3,7,0,2,0,0
Napoli,Lazio,0,1,A,0,0,D,14,5,2,2,13,8,8,3,2,2,0,0
Monza,Empoli,2,1,H,1,0,H,10,18,3,3,10,12,1,8,2,3,0,0
Atalanta,Udinese,0,0,D,0,0,D,17,5,5,1,12,12,12,3,2,3,0,0
Fiorentina,Milan,2,1,H,0,0,D,16,8,8,6,12,17,11,5,3,3,0,0
Spezia,Verona,0,0,D,0,0,D,20,11,4,3,6,7,9,5,2,1,1,0
Sampdoria,Salernitana,0,0,D,0,0,D,9,10,3,4,18,13,2,6,3,4,0,0
Inter,Lecce,2,0,H,1,0,H,14,11,4,1,10,11,6,4,0,0,0,0
Roma,Juventus,1,0,H,0,0,D,6,14,2,5,11,10,2,6,3,2,0,1
Sassuolo,Cremonese,3,2,H,2,0,H,13,13,7,6,11,9,4,3,1,4,0,0
Torino,Bologna,1,0,H,1,0,H,12,11,5,1,9,10,3,3,2,2,0,0
Spezia,Inter,2,1,H,0,0,D,4,28,2,7,11,9,1,13,3,0,0,0
Empoli,Udinese,0,1,A,0,0,D,17,14,3,4,12,13,11,5,2,4,0,0
Napoli,Atalanta,2,0,H,0,0,D,18,6,6,3,12,11,10,4,1,2,0,0
Bologna,Lazio,0,0,D,0,0,D,16,5,2,2,11,8,5,2,2,3,0,0
Lecce,Torino,0,2,A,0,2,A,13,4,1,2,16,17,9,1,3,3,0,0
Cremonese,Fiorentina,0,2,A,0,1,A,16,10,5,3,10,17,1,6,1,2,0,0
Verona,Monza,1,1,D,0,0,D,8,9,3,3,17,12,7,2,2,0,0,0
Roma,Sassuolo,3,4,A,1,3,A,17,19,7,10,11,18,7,2,4,2,1,0
Juventus,Sampdoria,4,2,H,2,2,D,24,9,8,3,10,10,11,3,1,1,0,0
Milan,Salernitana,1,1,D,1,0,H,24,6,4,3,15,13,6,4,2,3,0,0
Sassuolo,Spezia,1,0,H,0,0,D,15,11,6,1,10,13,3,3,0,2,0,0
Atalanta,Empoli,2,1,H,0,1,A,27,5,6,2,11,10,13,2,3,2,0,0
Monza,Cremonese,1,1,D,0,0,D,15,8,7,2,12,12,8,4,3,5,0,0
Salernitana,Bologna,2,2,D,1,1,D,14,10,4,2,8,16,5,4,0,1,0,0
Udinese,Milan,3,1,H,2,1,H,14,10,5,6,16,9,5,6,4,2,0,0
Sampdoria,Verona,3,1,H,2,0,H,11,16,4,6,10,11,5,8,3,2,0,0
Fiorentina,Lecce,1,0,H,1,0,H,18,8,3,2,14,21,1,3,1,3,0,0
Torino,Napoli,0,4,A,0,2,A,12,12,2,6,14,14,5,4,1,1,0,0
Lazio,Roma,1,0,H,0,0,D,12,8,5,3,18,13,5,2,4,4,1,2
Inter,Juventus,0,1,A,0,1,A,18,7,3,3,6,18,6,4,3,4,1,1
Cremonese,Atalanta,1,3,A,0,1,A,15,12,4,4,13,10,0,6,3,2,0,0
Inter,Fiorentina,0,1,A,0,0,D,16,19,3,3,8,7,10,8,2,3,0,0
